soames,mcn,0.03
soames,gathering,0.02
soames,yellow squares,0.02
soames,character,0.03
soames,three,0.2
soames,yellow,0.01
soames,walk,0.03
soames,looking,0.03
soames,light shone,0.04
soames,shone,0.03
soames,inhabit,0.03
soames,squares,0.03
soames,birds,0.03
soames,rooms,0.03
yellow squares,gloom,0.11
three,light,0.15
perfectly,impressed,0.13
fel-,low,0.02
fel-,fifty,0.17
whose honesty,knew,0.03
whose honesty,ten,0.02
whose honesty,existed,0.19
whose honesty,belonged,0.02
shreds,sharpened,0.11
unpar-,examining,0.03
unpar-,interesting,0.03
unpar-,possi-,0.19
unpar-,liberty,0.03
unpar-,continue,0.03
unpar-,know,0.04
unprinci-,intellects,0.03
unprinci-,brilliant,0.02
unprinci-,university,0.03
unprinci-,chooses,0.17
unprinci-,wayward,0.02
unprinci-,pled,0.04
unprinci-,brightest,0.02
unprinci-,dissipated,0.02
mental,physical,0.11
centre table,description,0.19
centre table,long-distance jumper,0.03
centre table,jumper,0.01
centre table,long-distance,0.22
get notice,allusion,0.04
get notice,downfall,0.04
get notice,share,0.04
get notice,expect,0.04
get notice,shall share,0.04
get notice,quit,0.04
get notice,matter,0.21
get notice,nervous,0.04
get notice,eternal,0.03
get notice,enterprising,0.03
get notice,meals,0.04
get notice,belated,0.04
get notice,made,0.04
get notice,tobacco,0.05
get notice,lost,0.03
get notice,thought,0.05
get notice,solved,0.04
get notice,dinner,0.04
get notice,careless,0.04
get notice,problem,0.04
get notice,irregularity,0.04
"""this",good-,0.02
"""this",recovering,0.14
"""this",humour,0.01
"""this",point,0.02
"""this",rascal,0.01
"""this",engrossed,0.02
"""this",broken,0.02
"""this",became,0.02
"""this",compelled,0.01
"""this",put,0.02
"""this",fresh,0.02
"""this",copied,0.02
"""this",hurry,0.02
"""this",evidently,0.01
admit,unable,0.13
admit,frankly,0.01
admit,prove,0.01
intruder,soon,0.01
intruder,rumpled,0.01
intruder,besides,0.11
intruder,presence,0.01
side table,confidencc,0.03
side table,watching,0.02
side table,suggestions,0.03
side table,took,0.21
side table,already,0.02
side table,worth,0.03
took,scene,0.01
took,reached,0.01
took,twilight,0.01
greek,seen,0.15
greek,translation,0.03
greek,subject,0.2
greek translation,candidate,0.13
set,visitors,0.03
set,unusual,0.03
set,oldest,0.02
set,quite,0.17
proofs,sheet,0.03
proofs,copy,0.18
"""one",hope,0.14
seems,since,0.18
seems,probable,0.02
dark silhouette,blind,0.01
