bizarre company,finally,0.05
company,city,0.06
company,bizarre,0.05
ask,pay,0.05
ask,towards,0.05
ask,headed,0.06
ask,capital,0.04
ever,told,0.07
told,made,0.03
told,watching,0.06
told,years,0.03
told,angrier,0.04
torture chamber,forget,0.08
torture chamber,money,0.01
torture chamber,"""that's",0.09
torture chamber,"""i",0.01
torture chamber,alive,0.01
torture chamber,carry,0.02
torture chamber,fine,0.01
torture chamber,strength,0.01
torture chamber,bag,0.01
torture chamber,sum,0.01
torture chamber,offer,0.01
torture chamber,gave,0.01
torture chamber,though,0.01
torture chamber,defeat,0.02
torture chamber,let,0.01
torture chamber,accept,0.01
torture chamber,wedding,0.01
torture chamber,daughter,0.01
torture chamber,riches,0.01
torture chamber,large,0.01
torture chamber,determined,0.01
torture chamber,unaware,0.01
"""that's",time,0.04
whoever,race,0.03
race,beat,0.04
race,could,0.02
race,announced,0.03
challenge,run,0.01
challenge,servants,0.06
run,said,0.01
run,wanted,0.01
servants,place,0.03
tree stump,found,0.06
found,stump,0.08
found,puzzled,0.07
found,fat,0.08
found,road,0.07
room's,light,0.06
light,seal,0.05
light,door,0.05
freeze everything,everybody,0.08
freeze everything,explained,0.08
freeze everything,took,0.01
everybody,word,0.04
everybody,around,0.04
everybody,stranger,0.06
everybody,straighten,0.06
everybody,freeze,0.05
everybody,naturally,0.05
sack,enough,0.05
sack,filling,0.05
sack,fill,0.08
furnace,lined,0.06
lined,huge,0.05
lined,built,0.04
lined,walls,0.06
lined,iron walls,0.04
lined,iron,0.05
lined,fact,0.06
daughter marry,palace,0.05
palace,marry,0.04
palace,unsuspecting,0.05
palace,miserable,0.06
palace,invited,0.06
victory,sure,0.04
convinced,follow,0.01
princess,accepted,0.01
untied,enjoy,0.05
enjoy,would,0.03
enjoy,nicknamed,0.04
enjoy,character,0.04
enjoy,joined,0.04
enjoy,others,0.04
enjoy,wind,0.03
jug,ran,0.04
ran,fast,0.06
ran,quickly,0.07
ran,reached,0.06
ran,lightning,0.06
uniform,dusted,0.05
dusted,cleaned,0.05
dusted,trip,0.07
dusted,long,0.03
hat,left,0.04
left,held,0.04
"""who",answered,0.04
answered,unison,0.04
answered,approached,0.06
answered,did,0.05
answered,young,0.02
answered,together,0.02
answered,tied,0.06
answered,legs,0.04
answered,hopped,0.04
answered,thin,0.02
martin,territory,0.01
martin,river,0.01
martin,troops,0.06
territory,separated,0.01
territory,bridge,0.01
territory,ordered,0.01
territory,abandoned,0.01
territory,two,0.01
territory,nations,0.01
territory,victorious,0.01
territory,enemy's,0.01
territory,homeland,0.01
troops,returned,0.03
troops,guard,0.04
soldier,kind,0.04
kind,strangely,0.03
kind,cross,0.04
kind,couldn't,0.04
kind,voice,0.04
kind,soft,0.03
feel guilty,room,0.08
feel guilty,pretended,0.01
feel guilty,dining,0.01
feel guilty,banquet,0.01
room,however,0.04
room,strange,0.06
mill's,nostrils,0.03
nostrils,direction,0.03
nostrils,blowing,0.02
fastfoot,approaching,0.03
approaching,finish,0.05
approaching,sudden,0.03
approaching,woke,0.03
asleep,fallen,0.04
fallen,kicked,0.04
fallen,unfortunately,0.02
fallen,fell,0.02
fallen,saw,0.04
soldiers,fattest,0.06
fattest,horses,0.05
fattest,carried,0.02
fattest,began,0.06
fattest,hard,0.04
straightened,soon,0.03
soon,faced,0.03
soon,shivering,0.03
soon,pretty,0.04
soon,cold,0.07
soon,round,0.08
royal army,named,0.06
royal army,scattered,0.01
royal army,continued,0.01
royal army,six,0.08
royal army,journey,0.01
royal army,plain,0.01
royal army,threat,0.01
royal army,minutes,0.01
named,army,0.03
named,able,0.05
named,enlisted,0.04
named,war,0.04
named,lived,0.02
named,men,0.05
named,upon,0.02
named,flght,0.05
men,met,0.01
men,hill,0.01
men,hunter,0.01
men,offered,0.01
men,spider,0.01
men,along,0.04
men,see,0.01
met,shot,0.01
met,want,0.01
met,walking,0.01
met,cobweb,0.01
met,begun,0.01
met,hole,0.01
met,top,0.01
met,three,0.01
met,come,0.01
met,got,0.01
met,get,0.01
met,rifle,0.01
met,aiming,0.01
met,tobacco,0.01
met,tree,0.01
met,faraway,0.01
met,asked,0.01
hill,middle,0.01
hill,was,0.01
hill,"""do",0.01
offered,return,0.01
offered,nothing,0.01
offered,things,0.01
six,extraordinary,0.06
six,friends,0.06
six,longer,0.04
six,wounded,0.04
pick,still,0.04
still,lie,0.06
still,flower,0.05
still,realizing,0.04
still,rest,0.05
still,decided,0.04
still,stopped,0.05
still,carefully,0.03
still,setting,0.05
still,ground,0.04
floor grow,suddenly,0.06
floor grow,eating,0.06
suddenly,head,0.04
suddenly,rapidly,0.03
suddenly,floor,0.03
suddenly,felt,0.02
suddenly,hot,0.03
suddenly,temperature,0.03
suddenly,lose,0.03
suddenly,grow,0.03
suddenly,increased,0.03
hurricane,amazed,0.05
amazed,sneeze,0.05
amazed,travellers,0.05
amazed,fellow,0.04
notice,outside,0.04
outside,hung,0.04
outside,city walls,0.03
outside,public,0.03
round face,little,0.07
round face,man,0.08
little,face,0.04
little,sat,0.02
line,full,0.05
full,contestants,0.05
full,brought,0.03
full,filled,0.05
full,nearby,0.02
stream,laid,0.02
laid,uprooted,0.05
laid,effortlessly,0.04
laid,across,0.01
rocket,starting,0.03
rocket,like,0.03
rocket,morning,0.04
arrived,windmill,0.05
windmill,you'll,0.05
windmill,walked,0.07
windmill,us,0.05
surprises,day,0.02
day,far,0.04
poor,realized,0.06
realized,court,0.04
realized,lost,0.04
realized,become,0.03
realized,fooled,0.05
realized,monarch,0.06
realized,temper,0.05
fastfoot's,sharp,0.05
sharp,hit,0.04
sharp,away,0.03
sharp,spot,0.05
sharp,near,0.02
sharp,sighted,0.04
sharp,ear,0.04
were,sword,0.06
sword,possessions,0.04
sword,valley,0.03
sword,empty,0.04
sword,couple,0.04
sword,bit,0.04
sword,later,0.05
sword,days,0.04
sword,pipe,0.04
sword,pockets,0.05
later,caught,0.05
later,surrounded,0.02
caught,gold,0.06
caught,back,0.07
caught,dead,0.07
caught,demanded,0.05
days,passed,0.01
passed,months,0.02
passed,go,0.02
passed,watch,0.03
passed,enemy,0.02
passed,kept,0.02
neck,shoulders,0.05
neck,hams,0.05
neck,sitting,0.05
neck,big,0.04
neck,bull's,0.05
neck,hands,0.04
had,food,0.06
food,thought,0.03
food,asking,0.02
food,survived,0.06
food,forgotten,0.03
food,authorities,0.06
food,probably,0.04
group,unbreakable,0.04
unbreakable,death,0.03
unbreakable,glass,0.05
unbreakable,slow,0.03
unbreakable,proceeded,0.04
crossed,turned,0.04
crossed,reward,0.05
crossed,never,0.03
crossed,without,0.04
battalions,chase,0.06
battalions,commander,0.06
king,furious,0.03
way,parts,0.05
parts,separate,0.05
parts,divided,0.05
parts,equal,0.04
parts,jewels,0.05
parts,one,0.04
parts,went,0.04
join,shoot,0.07
shoot,anyone,0.05
shoot,well,0.02
shoot,seen,0.02
fnends,wickedness,0.04
wickedness,king's,0.05
wickedness,urged,0.04
wickedness,remedy,0.05
wickedness,wood,0.05
wickedness,throw,0.05
wickedness,uselessly,0.05
