mistake,penance,0.03
mistake,appear,0.22
mistake,exhausted,0.03
mistake,could,0.03
mistake,energy,0.04
mistake,felt,0.05
mistake,repeated,0.06
mistake,result,0.03
mistake,sorry,0.06
mistake,wanted,0.05
mistake,offered,0.02
cloth,return,0.02
cloth,thread,0.03
cloth,dripping,0.02
cloth,bath,0.02
cloth,water,0.15
cloth,go,0.01
cloth,river,0.02
cloth,asked,0.01
cruelty,innocent boys,0.01
cruelty,depressed,0.02
cruelty,inflicted,0.03
cruelty,contrary,0.03
cruelty,innocent,0.03
cruelty,immensely,0.15
brahmana,back,0.01
brahmana,held,0.14
brahmana,fear,0.02
brahmana,sin,0.02
brahmana,incurring,0.01
pupil,embrace,0.08
pupil,broadminded,0.01
waist,knees,0.29
waist,stood,0.14
waist,covering,0.16
waist,shame,0.2
waist,put,0.18
lord krishna,disgrace,0.04
lord krishna,humiliation,0.03
lord krishna,saves,0.04
lord krishna,demeaning,0.04
lord krishna,saved,0.2
lord krishna,different,0.02
lord krishna,sari,0.04
lord krishna,blooded,0.04
lord krishna,hot,0.03
lord krishna,call,0.2
lord krishna,lot,0.03
lord krishna,'it\x92s',0.04
lord krishna,pathetic,0.04
lord krishna,extending,0.03
lord krishna,endlessly,0.03
lord krishna,unpardonable,0.04
lord krishna,considered,0.05
lord krishna,matter,0.04
lord krishna,act,0.06
lord krishna,responded,0.03
brahmahathi,case,0.02
brahmahathi,pertaining,0.02
brahmahathi,injunction,0.14
brahmahathi,applicable,0.02
brahmahathi,traditional,0.01
infuriated arjuna,bathe,0.01
infuriated arjuna,pledged,0.22
infuriated arjuna,stand,0.01
bathe,head,0.02
bathe,bring,0.02
mud replica,source,0.19
mud replica,guide,0.04
mud replica,inspiration,0.03
weapon,unborn,0.02
weapon,save,0.02
weapon,pleaded,0.12
game,lost,0.05
boys,young,0.02
boys,entertain,0.16
boys,villainous,0.03
boys,criminal,0.03
entertain,explained,0.2
entertain,harmless,0.14
guru,dakshina,0.01
guru,'teacher\x92s',0.01
guru,since,0.13
guru,mercilessly,0.01
guru,demanded,0.01
guru,fees,0.01
since,always,0.02
always,sure,0.02
always,assistance,0.07
always,saviour,0.05
waist cloth round,see,0.23
waist cloth round,disappointed,0.03
arjuna,even,0.02
arjuna,voice,0.03
arjuna,emotionally,0.03
arjuna,surcharged,0.2
arjuna,advised,0.02
arjuna,wisely,0.03
even,protector,0.01
even,confidence,0.06
