youths,identical,0.01
youths,among,0.01
youths,appeared,0.01
youths,pick,0.1
youths,confusing,0.01
ashvini kumaras,thus,0.01
ashvini kumaras,revived,0.01
ashvini kumaras,replaced,0.09
ashvini kumaras,original,0.01
ashvini,'sukanya\x92s',0.11
ashvini,faithful,0.01
ashvini,well,0.01
ashvini,actually,0.01
ashvini,were,0.01
ashvini,test,0.01
ashvini,fidelity,0.01
ashvini,pleased,0.02
ashvini,devotion,0.01
soma,river,0.01
soma,secure,0.01
soma,offer,0.01
soma,denied,0.01
soma,accepted,0.02
soma,dip,0.11
soma,asked,0.01
soma,nearby,0.01
handsome youth,daughter,0.05
daughter,see,0.06
daughter,shocked,0.1
youth,alone,0.01
youth,bestow,0.12
initiation,received,0.06
ears,nectar,0.01
ears,receive,0.01
ears,honour,0.01
ears,invited,0.09
ears,high,0.01
ears,happily,0.01
ears,was,0.01
emaciated,even,0.01
emaciated,unexpected,0.01
emaciated,prize,0.01
emaciated,though,0.01
emaciated,earnestness,0.01
emaciated,age,0.02
emaciated,years,0.01
emaciated,jack,0.09
emaciated,pot,0.01
competent physicians,told,0.09
competent,physicians,0.11
forsake,living,0.08
forsake,corpse,0.01
forsake,bubbling,0.01
forsake,us,0.01
living,one,0.03
glow worms,eyes,0.12
eyes,like,0.01
eyes,inside,0.01
eyes,looked,0.01
eyes,pair,0.01
eyes,glow,0.01
shrewd gods,cowed,0.12
solemn oath,treated,0.1
beauty deserves,full,0.09
beauty deserves,enjoyment,0.01
beauty deserves,better,0.09
beauty deserves,drudgery,0.01
beauty deserves,undertaken,0.01
full,free,0.04
ant-hill,pacified,0.08
ant-hill,'sarjati\x92s',0.01
ant-hill,soon,0.01
ant-hill,responsibility,0.01
ant-hill,efforts,0.01
ant-hill,came,0.01
ant-hill,readily,0.01
'rishi\x92s',dedicated,0.02
'rishi\x92s',elope,0.03
'rishi\x92s',whether,0.01
'rishi\x92s',biding,0.02
'rishi\x92s',folly,0.02
'rishi\x92s',waiting,0.02
'rishi\x92s',ascertained,0.03
'rishi\x92s',poked,0.02
'rishi\x92s',atonement,0.02
'rishi\x92s',girl,0.02
'rishi\x92s',first,0.01
'rishi\x92s',really,0.01
'rishi\x92s',unknowingly,0.02
'rishi\x92s',handsome,0.13
marry,desire,0.08
marry,expressed,0.08
marriage,agreed,0.11
marriage,performed,0.01
bestowing,grateful,0.06
'\x93the',suggested,0.08
'\x93the',seeing,0.08
'\x93the',along,0.07
'\x93the',two,0.05
skin,body,0.01
skin,wrinkled,0.01
skin,man,0.01
skin,old,0.1
muni,completed,0.08
muni,invitation,0.01
completed,successfully,0.06
sukanya,celestial,0.01
sukanya,kumaras,0.01
sukanya,serve,0.01
sukanya,aged,0.01
sukanya,faithfully,0.01
sukanya,chyavana,0.01
sukanya,got,0.11
sukanya,served,0.01
sukanya,devotedly,0.01
sukanya,opportunity,0.01
husband,explained,0.1
husband,had,0.12
husband,detail,0.12
husband,way,0.07
husband,attained,0.12
thorn,luminous,0.01
thorn,something,0.09
bless,request,0.08
bless,attractive,0.07
bless,figure,0.08
'manu\x92s',son,0.07
son,chyavana muni,0.05
son,took,0.06
'\x93what',life,0.01
'\x93what',monotonous,0.01
'\x93what',leading,0.01
'\x93what',attention,0.08
'\x93what',needs,0.01
attention,long,0.04
attention,day,0.05
faculty,selection,0.01
faculty,mental,0.01
faculty,difficulty,0.01
faculty,challenge,0.01
faculty,confident,0.01
faculty,take,0.04
faculty,suggestion,0.01
faculty,courageous,0.08
take,use,0.02
'horse\x92s',placed,0.01
'horse\x92s',removed,0.08
'horse\x92s',place,0.01
perfect match,devoted,0.11
devoted,perfect,0.01
devoted,wife,0.01
devoted,upset,0.01
devoted,consult,0.01
perfect,said,0.05
reason,called,0.03
sarjati,excessive,0.01
sarjati,bleeding,0.01
sarjati,terribly,0.09
sarjati,fear,0.01
sarjati,tremble,0.01
terribly,made,0.03
twin deities,secret knowledge,0.01
twin deities,lose,0.12
secret knowledge,head,0.02
secret knowledge,deities,0.02
secret knowledge,threatened,0.01
secret knowledge,revealed,0.01
approached,bathing,0.07
brahmagyana,preceptor,0.01
brahmagyana,versed,0.1
brahmagyana,sage,0.01
brahmagyana,'indra\x92s',0.01
brahmagyana,subject,0.01
indra,cut,0.01
indra,'sage\x92s',0.01
indra,accept,0.01
indra,promptly,0.1
indra,transgression,0.01
indra,command,0.01
indra,furious,0.01
promptly,could,0.04
unchaste,impression,0.01
unchaste,woman,0.01
unchaste,another,0.01
unchaste,clarified,0.02
unchaste,character,0.01
unchaste,father,0.01
unchaste,mistaken,0.11
unchaste,live,0.01
unchaste,ashamed,0.01
unchaste,distinguished,0.01
juice,accordance,0.11
juice,eligible,0.08
juice,promise,0.15
juice,incorporated,0.15
juice,privilege,0.1
convention,furiously,0.01
convention,thunder,0.09
convention,going,0.01
convention,bolt,0.01
convention,aimed,0.01
extend,personal,0.01
extend,visited,0.02
extend,hermitage,0.13
divine twins,requested,0.03
divine twins,great,0.01
divine twins,return,0.14
divine twins,truth,0.02
divine twins,rishi,0.02
divine twins,intelligent ashvini,0.02
divine twins,dadheechi,0.02
divine twins,sacrifices,0.02
divine twins,till,0.02
divine twins,sacred,0.02
divine twins,brahman,0.02
divine twins,intelligent,0.02
divine twins,teach,0.02
divine twins,secured,0.01
sometime,happy,0.01
sometime,actual,0.02
sometime,intended,0.01
sometime,perform,0.03
sometime,big,0.01
sometime,pointed,0.12
sometime,later,0.01
sometime,officiate,0.01
sometime,chief,0.01
sometime,priest,0.01
sometime,sought,0.02
sometime,wanted,0.01
sometime,sacrifice,0.01
sometime,help,0.01
treat,temporary,0.01
treat,succeeded,0.01
treat,agreement,0.09
treat,proved,0.01
succeeded,did,0.01
'\x93you',defamed,0.01
'\x93you',shouted,0.1
'\x93you',family,0.01
'\x93you',respectful,0.01
men,identifying,0.01
men,three,0.01
men,water,0.01
men,emerged,0.09
men,problem,0.01
weapon,yogic powers,0.06
weapon,arrested,0.09
yogic,powers,0.01
soma juice,story,0.01
soma juice,enjoying,0.01
soma juice,anecdotes,0.01
soma juice,gods,0.11
soma juice,offered,0.01
soma juice,since,0.01
soma juice,narration,0.01
soma juice,finally,0.01
soma juice,twins,0.01
soma juice,interesting,0.01
soma juice,include,0.01
soma juice,ever,0.01
since,chopped,0.01
since,save,0.01
since,knowledge,0.01
since,acquire,0.01
since,determined,0.01
since,planned,0.01
since,device,0.07
enjoy,time,0.07
