anyone,extend,0.15
anyone,though,0.14
anyone,accidentally,0.14
anyone,else,0.11
anyone,hand,0.16
wise princess,upon,0.01
wise princess,welfare,0.02
wise princess,put,0.02
wise princess,forth,0.14
wise princess,condition,0.02
sanctions,consent,0.02
sanctions,mutual,0.02
sanctions,mode,0.14
brahmana,kshatriya,0.2
brahmana,intriguing,0.03
brahmana,marry,0.04
brahmana,scriptural,0.03
brahmana,girl,0.03
brahmana,injunctions,0.03
brahmana,might,0.02
goats,attracted,0.14
goats,female,0.01
goats,majestic,0.02
goats,wanted,0.02
goats,personality,0.02
'king\x92s',court,0.02
'king\x92s',unfortunately,0.02
'king\x92s',lost,0.02
'king\x92s',prove,0.14
'king\x92s',signet,0.02
'king\x92s',identity,0.02
'king\x92s',way,0.02
'king\x92s',river,0.02
'king\x92s',memento,0.02
human,relationships,0.14
human,disappears,0.02
human,waking,0.02
human,dream,0.02
human,seemed,0.02
vedas,power,0.02
vedas,authority,0.03
vedas,asceticism,0.2
son,father's,0.13
son,come,0.01
son,besides,0.02
asuras,revived,0.14
asuras,return,0.02
asuras,shukra,0.02
asuras,sign,0.02
asuras,special,0.02
asuras,mischief,0.02
asuras,occasion,0.02
asuras,suspected,0.02
asuras,previous,0.01
affected,discarded,0.16
affected,gratified,0.12
affected,felt,0.12
affected,swapping,0.36
jealous,share,0.11
cultivated,intention,0.15
cultivated,malicious,0.14
cultivated,friendship,0.16
acquired,established,0.14
acquired,righteous,0.13
acquired,powerful,0.12
chance meeting,'kacha\x92s',0.03
chance meeting,confirmation,0.03
chance meeting,reckoned,0.18
restored,thousands,0.01
restored,enjoyed,0.12
restored,years,0.01
happily,together,0.08
code,favour,0.06
favour,ethics,0.06
derogatory remarks,want people,0.03
derogatory remarks,beautiful,0.16
derogatory remarks,palace,0.02
derogatory remarks,people,0.01
derogatory remarks,make,0.01
derogatory remarks,claimed,0.02
derogatory remarks,want,0.02
derogatory remarks,allowed,0.01
advice tells,devoted,0.21
advice tells,thin,0.19
advice tells,give,0.02
advice tells,stand,0.04
advice tells,birth,0.03
advice tells,worthy,0.03
advice tells,thick,0.03
advice tells,parting,0.03
advice tells,circumstances,0.03
uttariya,pity,0.02
uttariya,upper,0.02
uttariya,seeing,0.03
uttariya,garment,0.02
uttariya,inside,0.03
uttariya,cover,0.03
uttariya,pulling,0.15
uttariya,threw,0.03
convince,tried,0.1
lived,enjoying,0.12
secret mantra,stomach,0.22
secret mantra,thinking,0.04
secret mantra,solution,0.04
secret mantra,suit,0.01
secret mantra,alternative,0.04
secret mantra,teach,0.2
thinking,imaginative,0.02
thinking,modified,0.02
danavas,invaluable,0.02
danavas,priest,0.17
danavas,service,0.02
shakuntala,dushyanta,0.05
shakuntala,ajanabha,0.05
shakuntala,changed,0.04
shakuntala,india,0.23
shakuntala,gets,0.04
shakuntala,original,0.02
