decisions,faced,0.07
decisions,finalising,0.03
decisions,end,0.03
decisions,difficulties,0.03
decisions,permission,0.03
decisions,till,0.03
decisions,recluse,0.02
decisions,train,0.02
decisions,proposals,0.15
decisions,vital,0.01
decisions,sooner,0.02
decisions,three,0.01
decisions,reverentially,0.03
decisions,continue,0.03
decisions,begun,0.02
decisions,exile,0.02
decisions,approval,0.02
decisions,administrative,0.03
ackowledged,lord,0.12
ackowledged,possess,0.01
ackowledged,formidable,0.01
ackowledged,string,0.02
affectionate,devoted,0.01
affectionate,gratitude,0.01
affectionate,equally,0.01
affectionate,gift,0.01
affectionate,services,0.09
kubera,conquered,0.02
kubera,brother,0.15
erudition,utilisation,0.1
erudition,enormous,0.01
forest,made,0.01
forest,demanded,0.01
forest,fourteen,0.01
forest,instead,0.09
instead,years,0.04
southern direction,ardent,0.19
southern direction,devotee,0.18
southern direction,efficient,0.02
devotee,father,0.02
devotee,subjects,0.01
father,among,0.07
father,family,0.17
father,diligently,0.14
father,manages,0.19
father,close,0.09
father,vishnu,0.16
father,maintain unity,0.2
father,varnashrama,0.16
father,perfect,0.21
father,holds,0.18
father,governance,0.19
father,rapport,0.23
father,tight,0.17
father,unity,0.18
father,expected,0.1
father,performance,0.23
father,duties,0.19
father,head,0.12
father,good,0.07
father,emphasizes,0.22
father,members,0.17
father,monarch,0.24
father,estabishes,0.15
father,adhering,0.22
father,dharma,0.24
father,maintain,0.23
father,principle,0.17
father,fundamental,0.2
father,bond,0.17
vaikuntha,abode,0.14
vaikuntha,hearts,0.15
vaikuntha,endeared,0.16
vaikuntha,people,0.07
caretaker government,attend,0.19
caretaker government,depressed,0.17
caretaker government,administration,0.02
caretaker government,placed,0.02
caretaker government,representative,0.02
depressed,take,0.08
insisted,accompanying,0.07
convince,already,0.01
convince,necessary,0.03
convince,harrassed,0.14
convince,lady,0.03
convince,disguise,0.03
convince,was,0.02
valmiki's,hermitage,0.02
valmiki's,taking,0.02
valmiki's,kusha,0.02
valmiki's,lava,0.02
valmiki's,carrying,0.15
valmiki's,twins,0.02
valmiki's,banishment,0.02
valmiki's,refuge,0.02
valmiki's,gave,0.02
shurpanakha,sister,0.02
shurpanakha,ten,0.01
shurpanakha,headed,0.13
story,revealed,0.1
story,song,0.07
concept,soul,0.12
search expedition,send,0.18
search,army,0.09
shiva dhanush,stringing,0.02
shiva dhanush,condition,0.18
realise,did,0.01
realise,kill,0.11
realise,time,0.01
speedy deliverance,natural,0.03
speedy deliverance,beauty,0.02
speedy deliverance,assured,0.04
speedy deliverance,monstrous,0.03
speedy deliverance,damage,0.19
speedy deliverance,come,0.02
persuaded,poisoned,0.17
persuaded,elevation,0.14
persuaded,agreeing,0.12
persuaded,heir,0.11
persuaded,mistress,0.15
persuaded,forthcoming,0.12
persuaded,proposal,0.14
distress,feared,0.09
today,live,0.07
today,tomorrow,0.09
fame,narration,0.02
fame,ideal,0.02
fame,spotless,0.13
fame,name,0.01
rama lakshmana hanuman purushottama,23,0.15
rama lakshmana hanuman purushottama,model,0.18
rama lakshmana hanuman purushottama,dasharatha,0.22
23,lakshmana hanuman purushottama,0.15
23,sita rama lakshmana,0.15
23,purushottama sita,0.14
23,purushottama sita rama,0.15
23,maryada purushottama sita,0.15
23,maryada purushottama,0.14
23,purushottama,0.01
23,maryada purushottama sita rama,0.15
23,hanuman purushottama,0.01
23,purushottama sita rama lakshmana,0.15
23,sita rama lakshmana hanuman,0.15
