promise,kept,0.18
promise,pleased,0.03
promise,mightily,0.03
threat,paralysed,0.23
threat,brain,0.23
threat,head,0.15
threat,looming,0.21
daughter,'sister\x92s',0.06
daughter,'\x93it',0.26
daughter,true,0.05
daughter,falsified,0.06
countenance,fear,0.22
countenance,showed,0.03
'lord\x92s',power,0.05
'lord\x92s',state,0.24
'lord\x92s',influence,0.05
'lord\x92s',know,0.02
yadavas,increasingly,0.03
yadavas,becoming,0.02
yadavas,sage,0.03
yadavas,descended,0.03
yadavas,burden,0.03
yadavas,asuras,0.04
yadavas,represented,0.2
yadavas,vanquish,0.03
brahma,lord,0.29
brahma,still,0.11
brahma,apprehensive,0.24
brahma,assured,0.24
divine voice,sister,0.35
divine voice,throttle,0.09
divine voice,tried,0.08
divine voice,hears,0.1
divine voice,conciliatory,0.09
divine voice,thought,0.12
divine voice,words,0.08
divine voice,conciliatory words,0.07
divine voice,pacify,0.01
divine voice,prophecy,0.02
divine voice,falsify,0.09
yashoda,presiding,0.2
yashoda,erected,0.04
yashoda,honoured,0.05
yashoda,esteemed,0.04
yashoda,deity,0.04
supreme being,purushasukta,0.32
supreme being,rigveda,0.32
supreme,sacred,0.01
supreme,meditated,0.01
supreme,reciting,0.01
sacred,hymn,0.06
'nanda\x92s',conception,0.03
'nanda\x92s',wife,0.04
'nanda\x92s',conceived,0.03
'nanda\x92s',moved,0.03
'nanda\x92s',miracle,0.04
'nanda\x92s',next,0.18
anticipate harm,hereafter,0.01
anticipate harm,happened,0.25
elder brother,constant,0.01
elder brother,would,0.25
elder brother,favourite,0.01
elder brother,companion,0.01
elder brother,carry,0.01
elder brother,precede,0.01
elder brother,biddings,0.01
supporters,enthusiasm,0.26
supporters,shoulders,0.23
supporters,shrugged,0.24
supporters,indifference,0.22
heavens,meditating,0.15
divine power,released,0.2
divine power,time,0.03
divine power,chains,0.03
divine power,also,0.02
generosity,skeptical,0.23
generosity,happy,0.05
generosity,take,0.05
child,sankarshana,0.24
child,womb,0.07
strip,strength,0.19
strip,precautionary,0.04
strip,measures,0.04
strip,thrive,0.04
point,already,0.04
point,elsewhere,0.12
point,sarcasm,0.31
point,killing,0.06
point,punctuated,0.09
point,adversary,0.06
'devaki\x92s',ananthashesha,0.33
divine,prayed,0.03
divine,away,0.01
divine,person,0.03
divine,withdraw,0.03
divine,particular,0.18
divine,public,0.01
divine,view,0.04
cowherds,weapons,0.05
cowherds,use,0.03
cowherds,pose,0.05
cowherds,ignorant,0.24
marks,reveal,0.04
marks,sure,0.03
marks,brother,0.19
marks,spare,0.04
marks,identity,0.04
appease,attempt,0.2
appease,offered,0.03
appease,spared,0.08
appease,finally,0.03
appease,desperate,0.04
sword,drew,0.21
sword,shocked,0.04
nanda,mountain,0.06
nanda,rohini,0.06
nanda,transfer,0.25
nanda,region,0.07
nanda,cave,0.06
nanda,rule,0.06
nanda,deputed,0.09
nanda,hiding,0.04
nanda,cowherd,0.06
girl,sky,0.21
girl,flew,0.04
heard,carefully,0.21
heard,accordingly,0.03
heard,grasped,0.04
heard,guided,0.04
shiva,went,0.04
shiva,deities,0.05
shiva,milky,0.22
kings,24,0.04
kings,armies,0.25
kings,assisted,0.06
kings,were,0.05
kings,forms,0.05
kings,warmongering,0.07
kings,assuming,0.05
kings,menace,0.05
kings,chapter,0.05
kings,arrogant,0.05
son,obeisance,0.05
son,considered,0.04
son,father,0.05
son,paid,0.05
son,fortunate,0.24
son,wonderful,0.05
foetus,prematurely,0.01
foetus,lost,0.1
foetus,people,0.01
strict vigil,standing,0.27
strict vigil,puzzling,0.02
