busied,attending,0.18
busied,comfortably,0.03
busied,guests,0.04
killig,shakatasura,0.06
killig,shakata,0.04
killig,often,0.04
killig,vadha,0.23
killig,incident,0.05
killig,referred,0.05
escaped,chasing,0.16
escaped,around,0.16
escaped,ran,0.17
escaped,nimble,0.18
escaped,yashoda chasing,0.15
'child\x92s',maidens,0.28
'child\x92s',enjoyed,0.06
spoilt,indulging,0.04
spoilt,swindled,0.05
spoilt,uncontrolled,0.23
spoilt,excessive,0.04
spoilt,drinking,0.04
safe,clinging,0.17
saint poetess,story,0.03
saint poetess,death,0.04
saint poetess,'putana\x92s',0.05
saint poetess,famous,0.04
saint poetess,big,0.02
saint poetess,jolt,0.04
saint poetess,andal,0.05
saint poetess,mentioned,0.24
saint poetess,tiruppavai,0.05
saint poetess,tamil,0.01
realise,suffer,0.06
realise,prosperity,0.04
realise,misfortune,0.06
realise,righteous,0.04
realise,lead,0.04
realise,astray,0.05
realise,person,0.06
realise,wanted,0.03
realise,path,0.04
realise,pride,0.22
realise,criminal,0.04
praises,sang,0.18
praises,attitude,0.03
praises,habitation,0.02
praises,turn,0.03
reinstate,spiritual,0.06
reinstate,knowledge,0.25
reinstate,hari,0.12
reinstate,devotees,0.06
reinstate,sri,0.04
reinstate,time,0.03
reinstate,consequence,0.06
reinstate,position,0.04
infant,plans,0.04
infant,conviction,0.25
infant,began,0.05
infant,none,0.05
infant,evil,0.06
infant,vishnu,0.05
infant,overpower,0.05
infant,evil plans,0.04
infant,hatch,0.06
infant,alone,0.04
infant,putana,0.06
weight,suddenly,0.18
weight,unbearable,0.18
weight,became,0.14
vasudeva,fascinating,0.05
vasudeva,son,0.07
vasudeva,26,0.04
vasudeva,expressed,0.05
vasudeva,greatness,0.05
vasudeva,lord,0.25
vasudeva,parikshit,0.07
vasudeva,feats,0.07
vasudeva,desire,0.04
vasudeva,know,0.04
vasudeva,listening,0.05
vasudeva,chapter,0.07
vasudeva,impressive,0.01
vasudeva,miraculous,0.05
lord,brave,0.01
lord,outstanding,0.01
lord,young,0.01
lord,draw,0.01
lord,morals,0.01
lord,feature,0.01
lord,interest,0.01
lord,achievements,0.01
lord,life,0.01
lord,killing,0.01
lord,hear,0.01
lord,ethics,0.01
lord,man,0.01
lord,dangerous,0.01
lord,appearance,0.01
brave,even,0.01
arose,darkness,0.21
arose,unforeseen,0.04
arose,started,0.01
arose,whirlwind,0.04
arose,blinding,0.04
arose,massive,0.04
arose,dust,0.04
arose,followed,0.03
arose,throwing,0.04
arose,cloud,0.03
darkness,send,0.01
send,tantrum,0.03
send,hit,0.03
send,flying,0.03
send,kicking,0.03
send,legs,0.03
tantrum,hard,0.14
yashoda,firmament,0.06
yashoda,entire,0.06
yashoda,planets,0.06
yashoda,universe,0.05
yashoda,mouth,0.06
yashoda,stars,0.27
yashoda,earth,0.06
yashoda,surprised,0.07
yashoda,galaxy,0.06
rudra,great,0.13
escape,sigh,0.04
escape,spread,0.04
escape,relief,0.21
nalakubera,manigriva,0.25
nalakubera,names,0.06
calves,let,0.04
calves,nobody,0.23
calves,loose,0.05
calves,supervise,0.05
vraja,affectionate,0.05
vraja,cowherd,0.05
vraja,never,0.01
vraja,back,0.03
vraja,boys,0.06
vraja,cowherd boys,0.04
vraja,supernatural,0.05
vraja,childlike,0.05
vraja,embracing,0.05
vraja,anger,0.25
vraja,emotional,0.05
vraja,pranks,0.05
vraja,provoked,0.06
vraja,endearing,0.05
vraja,momentary,0.05
cowherd boys,company,0.08
mischiefs,boy,0.22
mischiefs,episode,0.05
mischiefs,another,0.04
mischiefs,trace,0.01
mischiefs,managing,0.03
mischiefs,interesting,0.04
mischiefs,make,0.02
mischiefs,discuss,0.04
mischiefs,malice,0.04
mischiefs,hearing,0.04
mischiefs,talk,0.05
mischiefs,difficulty,0.04
mischiefs,without,0.04
mischiefs,jokingly,0.04
mischiefs,directly,0.05
mischiefs,sprightly,0.04
mischiefs,reading,0.04
mischiefs,yet,0.03
boy,bowed,0.01
boy,disappeared,0.01
curds,fond,0.19
ground,like,0.04
ground,balloon,0.05
ground,rock,0.05
ground,speedily,0.04
ground,crashed,0.22
ground,descended,0.04
ground,deflated,0.06
ground,killed,0.06
experience,provided,0.05
experience,eyes,0.05
experience,closed,0.06
experience,bewildering,0.05
experience,fear,0.05
experience,toddler,0.25
experience,similar,0.05
peg,wood,0.03
peg,pyramid,0.04
peg,logs,0.04
peg,form,0.05
peg,reach,0.05
peg,high,0.19
peg,used,0.02
peg,pile,0.04
peg,bend,0.04
peg,hung,0.04
peg,climb,0.07
finger length,short,0.21
finger length,extension,0.03
finger length,always,0.01
finger length,surprisingly,0.25
finger length,fell,0.02
slackening,fervour,0.02
slackening,initially,0.02
slackening,steady,0.02
slackening,due,0.02
slackening,increase,0.15
kubera,'\x91ignorance',0.06
kubera,redeems,0.06
kubera,freedom,0.01
kubera,breaks,0.06
kubera,message,0.06
kubera,sin,0.05
kubera,binds,0.06
kubera,fetters,0.06
kubera,sons,0.26
kubera,blissful,0.05
kubera,grants,0.06
kubera,devotion,0.05
rod,spank,0.05
rod,picked,0.22
face,forced,0.19
face,please,0.03
face,tired,0.03
divine benevolence,feed,0.01
divine benevolence,whose,0.24
divine benevolence,caressed,0.01
divine benevolence,someone,0.01
divine benevolence,divinity,0.01
divine benevolence,owe,0.01
divine benevolence,meritorious,0.01
divine benevolence,gratitude,0.01
divine benevolence,save,0.01
divine benevolence,child,0.01
divine benevolence,deed,0.01
divine benevolence,revealed,0.01
feed,sure,0.02
feed,still,0.02
mortar,forcibly,0.21
mortar,went,0.04
mortar,squeeze,0.04
intent,punishing,0.24
intent,tie,0.05
illusion,whether,0.02
illusion,was,0.02
illusion,dream,0.19
illusion,confused,0.04
rites,ill effects,0.17
rites,carried,0.25
rites,ill,0.2
rites,benedictory,0.23
rites,effects,0.23
rites,ward,0.23
krishna,foster parents,0.04
krishna,reducing,0.06
krishna,honouring,0.06
krishna,performing,0.06
krishna,engaged,0.06
krishna,number,0.05
krishna,birthday,0.07
krishna,longevity,0.06
krishna,wicked,0.08
krishna,foster,0.3
krishna,parents,0.06
krishna,burden,0.06
krishna,brahmanas,0.07
krishna,nanda,0.07
krishna,religious,0.06
krishna,lessened,0.29
krishna,first,0.03
celebration,participate,0.21
celebration,invited,0.22
celebration,grand,0.19
celebration,families,0.21
monkeys,feeding,0.19
monkeys,angry,0.18
monkeys,find,0.14
monkeys,also,0.11
monkeys,window,0.19
