grain,vendor,0.01
grain,handful,0.01
grain,return,0.1
grain,child,0.01
grain,consideration,0.01
expectation,emancipated,0.16
expectation,contrary,0.09
let,did,0.04
did,go,0.02
serpent,form,0.01
serpent,open,0.06
form,commands,0.01
form,sky,0.01
form,extending,0.01
form,carry,0.01
form,size,0.01
open,wide,0.04
dhenuka,hit,0.01
dhenuka,hard,0.08
dhenuka,tree,0.01
dhenuka,palm tree,0.01
dhenuka,trunk,0.01
dhenuka,swirl,0.01
hit,holding,0.01
hard,vigorous,0.04
rice grains,slowly,0.08
slowly,hand,0.06
slowly,dropped,0.05
slowly,small,0.04
slowly,left,0.06
jelled,adopted,0.08
hind legs,suddenly,0.04
suddenly,held,0.06
suddenly,tail,0.07
kick,misjudged,0.01
kick,similar,0.01
kick,overpower,0.01
kick,weakling,0.08
weakling,second,0.05
weakling,expected,0.06
rice,call,0.06
rice,exchange,0.01
call,response,0.08
call,took,0.07
assumed,enormous,0.06
enormous,body,0.06
kapittha fruit,closeby,0.13
kapittha fruit,calf,0.13
unwise,continue,0.01
unwise,omens,0.01
unwise,seem,0.07
seem,longer,0.04
seem,favourable,0.05
thought,passing,0.07
boys,cowherd,0.01
boys,became,0.01
boys,snake,0.02
boys,playground,0.01
boys,skin,0.01
boys,dried,0.11
snake,later,0.01
kamsa,spotted,0.01
kamsa,tending,0.01
kamsa,kine,0.01
kamsa,disguised,0.01
kamsa,vatsa,0.01
kamsa,together,0.01
kamsa,vatsasura,0.01
kamsa,games,0.01
kamsa,various,0.01
kamsa,playing,0.1
kamsa,sent,0.01
kamsa,happened,0.01
confident,harm,0.08
harm,come,0.02
harm,side,0.04
ass,heavy,0.07
heavy,walking,0.04
heavy,furiously,0.05
heavy,gait,0.06
lord venkatesvara the,dedicated,0.02
lord venkatesvara the,exemplary,0.02
lord venkatesvara the,slokas,0.02
lord venkatesvara the,compassion,0.15
lord venkatesvara the,saint philosopher,0.03
lord venkatesvara the,philosopher,0.01
lord venkatesvara the,desika,0.15
lord venkatesvara the,praise,0.02
lord venkatesvara the,famous,0.02
lord venkatesvara the,vedanta,0.02
lord venkatesvara the,saint,0.02
lord venkatesvara the,dayashatakam,0.02
lord venkatesvara the,hundred,0.02
lord venkatesvara the,quality,0.02
lord venkatesvara the,endearing,0.02
lord venkatesvara the,daya,0.02
herd,informed,0.01
herd,discreetly,0.01
herd,brother,0.12
herd,casually,0.01
cave,entrance,0.01
cave,appearing,0.01
cave,dark,0.01
cave,lay,0.09
lay,still,0.04
pathway,impression,0.01
pathway,leading,0.01
pathway,inside,0.01
