tusk,pulling,0.16
choicest flowers,adorned,0.29
choicest flowers,offered,0.04
choicest flowers,cynosure,0.06
choicest flowers,garlands,0.29
sword,challenge,0.22
sword,get,0.14
vision,brooding,0.04
vision,convinced,0.04
vision,unusual,0.03
vision,truth,0.21
cowherds,bout,0.2
cowherds,right,0.18
cattle tenders,pastime games,0.07
cattle tenders,addressed,0.26
pastime games,dexterous,0.05
pastime games,'\x93you',0.06
pastime games,cattle,0.06
pastime games,mockingly,0.05
pastime games,grazing,0.06
mathura,disclosure,0.25
mathura,began,0.28
mathura,identities,0.25
mathura,visit,0.28
heart,beautiful,0.17
heart,compassion,0.03
heart,afflictions,0.03
heart,wave,0.03
dear friend,prospects,0.05
dear friend,happily,0.29
dear friend,assignment,0.05
dear friend,'akrura\x92s',0.35
dear friend,thoughts,0.03
invitation,honoured,0.18
death,fiercely,0.21
death,approaching,0.2
death,jumped,0.22
'krishna\x92s',fate,0.05
'krishna\x92s',show,0.04
'krishna\x92s',irony,0.05
'krishna\x92s',had,0.05
'krishna\x92s',subjects,0.06
'krishna\x92s',planned,0.03
'krishna\x92s',destined,0.22
'krishna\x92s',instead,0.03
trump card,conceal,0.01
trump card,wriggled,0.01
trump card,seat,0.01
trump card,going,0.01
trump card,best,0.01
trump card,discomfiture,0.28
trump card,'day\x92s',0.01
asura kesi,boy,0.3
asura kesi,seized,0.01
asura kesi,attempt,0.3
asura kesi,daitya,0.02
asura kesi,maya,0.02
asura kesi,divine boy,0.08
seized,state,0.03
seized,delirium,0.15
surprise visit,confirmed,0.26
surprise visit,was,0.24
massage,pleasure,0.19
massage,let,0.15
massage,experience,0.2
massage,soothing,0.17
death psychosis,visualized,0.06
death psychosis,intermittent,0.06
death psychosis,wakefulness,0.06
death psychosis,break,0.28
death psychosis,dizzy,0.06
death psychosis,various,0.05
death psychosis,woke,0.06
death psychosis,portents,0.06
akrua,reluctantly,0.03
akrua,reporting,0.19
akrua,retired,0.04
akrua,left,0.04
'kamsa\x92s',ends,0.04
'kamsa\x92s',powerful,0.23
'kamsa\x92s',arms,0.04
'kamsa\x92s',hair,0.04
'kamsa\x92s',victory,0.04
'kamsa\x92s',stand,0.05
ananthshesha,lord,0.04
ananthshesha,incarnate,0.22
krishna's,saluted,0.04
krishna's,feet,0.04
krishna's,embrace,0.04
krishna's,therefore,0.2
krishna's,prison,0.04
krishna's,touched,0.04
arrival,gate,0.18
arrival,trampled,0.18
trusted,however,0.03
trusted,aside,0.22
trusted,representative,0.04
trusted,passing,0.04
trusted,brushed,0.05
trusted,misunderstood,0.04
deformities,magic,0.04
deformities,like,0.02
deformities,eye,0.22
deformities,wink,0.01
deformities,vanished,0.04
like,felled,0.02
like,last,0.01
like,tree,0.11
like,finally,0.02
like,breathed,0.02
like,trunk,0.02
like,grabbed,0.02
like,stamped,0.02
agreed,flattered,0.03
agreed,felt,0.03
agreed,wholeheartedly,0.17
agreed,services,0.02
agreed,find,0.03
agreed,desiring,0.03
'yashoda\x92s',yoga-maya,0.04
'yashoda\x92s',actually,0.2
'yashoda\x92s',child,0.03
'yashoda\x92s',daughter,0.03
'yashoda\x92s','lord\x92s',0.03
game,similar,0.17
game,played,0.19
divine vision,cowboys,0.01
divine vision,vishnu,0.05
divine vision,stole,0.06
divine vision,blocked,0.01
divine vision,dark mountain,0.01
divine vision,acting,0.01
divine vision,entrance,0.01
divine vision,huge,0.01
divine vision,smile,0.01
divine vision,robber,0.01
divine vision,dark,0.01
divine vision,carried,0.01
divine vision,disguised,0.01
divine vision,inside,0.25
divine vision,rock,0.01
cowboys,pushed,0.01
vishnu,mild,0.04
vishnu,ready,0.02
vishnu,information,0.03
vishnu,divulge,0.04
vishnu,vraja,0.04
vishnu,mahout,0.01
vishnu,akrura's,0.04
vishnu,got,0.03
vishnu,excited,0.04
vishnu,requested,0.05
vishnu,gifts,0.04
vishnu,did,0.02
vishnu,reacted,0.04
vishnu,residents,0.04
vishnu,anyone,0.04
mahout,lifted,0.19
mahout,slipped,0.2
mahout,eel,0.17
oblige,readiness,0.03
oblige,impressed,0.03
oblige,immediately,0.17
cave,suffocation,0.01
cave,far,0.12
cave,saved,0.01
cave,ran,0.01
cave,premise,0.02
cave,removed,0.01
cave,friends,0.01
cave,attacking,0.01
thousand elephants,strength,0.01
thousand elephants,prowess,0.29
thousand elephants,besides,0.01
thousand elephants,exhibited,0.01
spectators,kamsa challenging,0.02
spectators,fearing,0.19
spectators,stalwarts,0.03
spectators,youth,0.03
spectators,tense,0.03
spectators,seats,0.03
spectators,outcome,0.03
spectators,challenging,0.02
wrestling,arranged,0.03
wrestling,strong,0.21
wrestling,two,0.03
wrestling,contest,0.04
florist,devoted,0.03
florist,takes,0.19
florist,serve,0.03
florist,problems,0.03
florist,care,0.03
nullify,straw,0.2
nullify,still,0.07
nullify,hope,0.18
deeds,loss,0.22
deeds,widows,0.22
deeds,though,0.2
deeds,received,0.18
deeds,fitting,0.2
deeds,husbands,0.22
deeds,enough,0.12
deeds,realise,0.22
deeds,grieving,0.2
deeds,punishment,0.22
pieces,snapped,0.18
pieces,tried,0.23
pieces,string,0.19
washermen,dangerous,0.19
washermen,bundles,0.24
washermen,dropping,0.22
washermen,fear,0.23
washermen,fled,0.23
join hands,expect,0.28
twodaityas,attack,0.18
twodaityas,succumbed,0.03
yadus,kingdom,0.02
yadus,see,0.02
yadus,happy,0.02
yadus,prosperous,0.18
'night\x92s',carts,0.23
'night\x92s',sleep,0.24
'night\x92s',peaceful,0.19
ideal messenger,hit,0.03
ideal messenger,upon,0.03
ideal messenger,carry,0.24
uncle,name,0.04
uncle,miseries,0.06
uncle,cursed,0.05
uncle,hands,0.06
uncle,siblings,0.05
uncle,root,0.06
uncle,'parents\x92',0.25
miracle,dreamt,0.04
miracle,happen,0.19
miracle,never,0.03
action,place,0.12
treatment,suitable,0.14
