hearts,butter,0.03
hearts,stolen,0.15
hearts,stole,0.02
hearts,way,0.01
rasa-leela,barriers,0.15
rasa-leela,boldly,0.02
rasa-leela,communion,0.02
rasa-leela,worldly,0.02
rasa-leela,night,0.03
rasa-leela,renouncing,0.02
purpose,see,0.05
purpose,besides,0.04
happy association,recollecting,0.04
happy association,occasions,0.04
happy association,nostalgia,0.2
happy association,saviour,0.03
happy association,also,0.02
happy association,overcome,0.22
akrura,earlier,0.05
earlier,met,0.09
earlier,first,0.02
wear,string,0.02
wear,garland,0.02
wear,wish,0.01
wear,please,0.01
wear,together,0.01
wear,next,0.1
wear,whatever,0.01
wear,birth,0.01
wear,actions,0.02
vraja,feet,0.13
vraja,dust,0.02
vraja,sanctified,0.01
krishna,feel,0.02
krishna,living,0.01
krishna,genuine,0.02
krishna,long,0.01
krishna,foster,0.01
krishna,parents,0.02
krishna,whose genuine affection,0.03
krishna,foster parents,0.01
krishna,real,0.03
krishna,never,0.16
krishna,bhakti,0.02
krishna,chapter,0.02
krishna,37,0.01
krishna,became,0.01
krishna,affection,0.02
living,satisfaction,0.01
living,would,0.07
living,scriptural,0.01
living,mastery,0.01
living,studies,0.01
would,company,0.07
would,proud,0.05
foster,genuine affection,0.2
foster,whose genuine,0.2
never,personified,0.02
personified,appeared,0.09
nanda,return,0.01
nanda,'\x93the',0.13
nanda,assured,0.01
nanda,universal,0.01
nanda,thus,0.01
nanda,surely,0.02
picturesque vision,plants,0.19
picturesque vision,creation,0.04
picturesque vision,trees,0.05
picturesque vision,born,0.02
picturesque vision,persons,0.03
picturesque vision,'god\x92s',0.03
picturesque vision,loving,0.19
life,thing,0.06
life,experience,0.01
'krishna\x92s',enhance,0.01
'krishna\x92s',spiritual,0.11
'krishna\x92s',proximity,0.01
'krishna\x92s',distance,0.01
bond,knowing,0.09
bond,inseparable,0.01
bond,air,0.01
bond,keen,0.01
bond,vital,0.01
guesses,wild,0.01
guesses,made,0.11
'pingala\x92s',sweetest,0.02
'pingala\x92s',height,0.02
'pingala\x92s',disappointment,0.02
'pingala\x92s',declaration,0.15
handsome,youthful,0.02
handsome,looks,0.02
handsome,stunned,0.12
'\x93o',elevation,0.03
'\x93o',worth,0.03
'\x93o',hand,0.02
'\x93o',leave,0.02
'\x93o',take,0.02
'\x93o',social,0.19
'\x93o',message,0.03
'\x93o',wanted,0.03
'\x93o',princess,0.04
life buoy,impact,0.03
life buoy,sinking,0.02
life buoy,distractions,0.03
life buoy,uddhava's,0.03
life buoy,pray,0.03
life buoy,philosophy,0.06
life buoy,viyoga,0.03
life buoy,suffering,0.03
life buoy,pining,0.03
life buoy,separation,0.19
life buoy,lecture,0.03
distractions,yearning,0.12
distractions,god,0.18
distractions,purifies,0.17
distractions,keep,0.11
distractions,creates,0.19
distractions,unwanted,0.19
distractions,alone,0.1
distractions,directs,0.15
human,devotees,0.02
human,within,0.01
human,aware,0.13
human,yearnings,0.02
human,beings,0.02
aware,dwells,0.13
outburst,mechanically,0.13
outburst,longer,0.1
outburst,could,0.1
outburst,carry,0.12
outburst,strain,0.12
