yajyna,marry,0.23
marudvati,blessings,0.05
marudvati,long,0.02
marudvati,child,0.22
foremost,values,0.17
foremost,moral,0.03
foremost,know,0.03
responsibilities,relieved,0.21
responsibilities,instantly,0.03
sung world,glories,0.25
wishes,stature,0.22
divyadrishti,enjoy,0.04
divyadrishti,enable,0.04
divyadrishti,would,0.25
divyadrishti,grant,0.04
divyadrishti,pleasures,0.05
divyadrishti,offered,0.04
divyadrishti,insight,0.04
divyadrishti,divine pleasures,0.05
kaustubha,wearing,0.04
kaustubha,sri,0.05
kaustubha,consort,0.01
kaustubha,goddess,0.04
kaustubha,seated,0.05
kaustubha,bosom,0.23
kaustubha,gem,0.06
consort,given,0.13
consort,'vishnu\x92s',0.24
consort,priests,0.2
consort,goddess manifests,0.23
consort,manifests,0.19
consort,sacrifices,0.16
consort,fees,0.19
consort,lakshmi,0.22
complaint,following,0.01
complaint,happily,0.13
'ekamreshvara',also,0.09
mahamrutyunjaya mantra,mastered,0.27
gandhamada,mountain,0.24
gandhamada,away,0.13
gandhamada,two,0.17
sati,bhava,0.06
sati,pithrus,0.06
sati,agni,0.05
sati,thirteen,0.24
sati,another,0.03
devas,control,0.26
devas,story,0.05
devas,right,0.02
devas,check,0.05
devas,proportion,0.05
devas,revive,0.04
devas,one,0.03
devas,overburdened,0.05
devas,growth,0.04
devas,connecting,0.04
devas,pleaded,0.04
devas,population,0.06
control,day,0.02
day,words,0.14
day,recollected,0.19
aging,good,0.01
aging,never,0.02
aging,fortune,0.16
creation,responsible,0.2
creation,preservation,0.04
creation,concentrate,0.06
creation,destruction,0.04
creation,unperturbed,0.04
marichi,sages,0.03
marichi,eminent sages,0.03
marichi,eminent,0.02
marichi,like,0.17
resolve,appreciation,0.21
resolve,steadfast,0.18
resolve,wish,0.19
supreme being,propitiation,0.04
supreme being,thought,0.04
supreme being,offspring,0.18
supreme being,blessed,0.03
kapila,feet,0.07
kapila,followed,0.03
kapila,soon,0.07
kapila,keep,0.24
kapila,water,0.02
kapila,renunciation,0.05
kapila,detachment,0.01
kapila,mother,0.05
kapila,secured,0.06
feet,damsels,0.01
feet,flowers,0.01
feet,saw,0.01
damsels,perfumes,0.06
damsels,ornaments,0.06
damsels,ready,0.05
damsels,got,0.05
damsels,clothes,0.06
keep,mendicant,0.01
keep,prepared,0.01
keep,live,0.01
draw,baffled,0.04
draw,started,0.02
draw,confused,0.03
draw,extraordinary,0.2
draw,state,0.04
draw,vision,0.03
pranayama,controlled,0.05
pranayama,mind,0.07
pranayama,air,0.04
pranayama,heat,0.05
pranayama,subsisted,0.06
pranayama,foot,0.05
pranayama,stood,0.04
pranayama,cold,0.25
pranayama,hundred,0.06
pranayama,defied,0.05
royal couple,welcomed,0.27
royal couple,due,0.03
royal couple,cottage,0.07
royal couple,thatched,0.27
riksha,went,0.24
riksha,penance,0.04
riksha,severe,0.04
riksha,propitiate,0.01
sanyasa,world,0.04
sanyasa,take,0.03
sanyasa,discharged,0.21
sanyasa,renounce,0.04
entire life time,dedicated,0.3
entire life time,upliftment,0.36
supreme lord,'kardama\x92s',0.01
supreme lord,spiritual,0.03
supreme lord,did,0.02
supreme lord,material,0.05
supreme lord,meditating,0.04
supreme lord,husband,0.01
supreme lord,heard,0.01
supreme lord,accomplishments,0.01
supreme lord,happiness,0.03
supreme lord,wasted,0.04
supreme lord,ever,0.23
supreme lord,think,0.01
supreme lord,material happiness,0.05
'kardama\x92s',since,0.02
'kardama\x92s',decided,0.02
death,appeared,0.05
death,declared,0.21
death,time,0.05
kala,enraged,0.05
kala,everyone,0.04
kala,decides,0.06
kala,trident,0.24
kala,audacity,0.05
kala,emerged,0.05
kala,struck,0.05
kala,called,0.04
lord krishna,complexion,0.07
lord krishna,krishnas,0.07
lord krishna,dark,0.06
lord krishna,meaning,0.05
lord krishna,descended,0.01
lord krishna,earth,0.29
lord krishna,mahabharatha age,0.05
descended,mahabharatha,0.22
divine energy,revealing,0.21
divine energy,tattva,0.04
divine energy,founder,0.03
divine energy,isolation,0.01
divine energy,preferred,0.01
divine energy,disappeared,0.03
divine energy,marga,0.01
divine energy,future,0.02
divine energy,believed,0.01
revealing,tattva marga,0.01
linga,noose,0.04
linga,along,0.03
linga,encircled,0.04
linga,threw,0.21
intense meditation,great,0.24
intense meditation,made,0.02
intense meditation,garuda,0.28
intense meditation,splendour,0.04
intense meditation,vehicle,0.04
sankhya school,replied,0.02
sankhya school,among,0.05
sankhya school,siddhas,0.36
sankhya school,respect,0.33
sankhya school,saints,0.08
sankhya school,philosophy,0.09
sankhya school,command,0.06
replied,find,0.21
replied,'\x93do',0.2
replied,panic,0.19
replied,aware,0.02
replied,husbands,0.19
replied,teach,0.18
replied,unnecessarily,0.22
replied,maharshi,0.21
replied,without,0.14
replied,'life'\x94',0.21
aware,lust,0.16
aware,'\x93i',0.18
aware,perform,0.18
aware,rites,0.18
aware,free,0.09
aware,cannot,0.1
aware,necessary,0.17
aware,manes,0.17
aware,deities,0.16
verge,dawned,0.21
verge,leaving,0.19
relief,want,0.15
relief,bondage,0.2
lord narayana,needs,0.25
lord narayana,beholding,0.06
lord narayana,conscious,0.05
lord narayana,mortal,0.05
lord narayana,vanished,0.06
lord narayana,was,0.05
lord narayana,worship,0.07
nine daughters,different,0.02
nine daughters,led,0.24
nine daughters,divide,0.04
nine daughters,ways,0.03
nine daughters,luxury,0.05
nine daughters,resulted,0.05
nine daughters,yogic powers,0.05
nine daughters,powers,0.05
nine daughters,divine luxury,0.05
nine daughters,happy,0.05
parents,honour,0.03
parents,spread,0.04
parents,wide,0.04
parents,matter,0.22
devakulya,twelve,0.08
devakulya,next,0.04
devakulya,delight,0.08
devakulya,performed,0.33
devakulya,ganges,0.13
devakulya,heavenly,0.08
devakulya,river,0.11
devakulya,river ganges,0.11
universe,everything,0.05
universe,base,0.27
universe,subsist,0.05
universe,primeval,0.07
universe,realize,0.1
unintelligent boy,short,0.2
unintelligent boy,intelligence,0.03
unintelligent boy,longevity,0.03
unintelligent boy,wanted,0.21
age,grew,0.06
age,incident,0.06
age,marriageable,0.06
age,peculiar,0.22
age,happened,0.07
eight days,near,0.04
eight days,collapse,0.24
lord vishnu,rolled,0.29
lord vishnu,visit,0.02
rolled,prosperous,0.01
rolled,prajapatis,0.01
rolled,wealthy,0.01
rolled,shatarupa,0.01
ultimate truth,us,0.03
ultimate truth,'\x93the',0.29
ultimate truth,together,0.03
ultimate truth,constitute,0.05
expressed,desire,0.02
expressed,however,0.14
expressed,bashfully,0.01
son,exhilarating,0.02
son,prospect,0.02
son,feeling,0.19
son,aroused,0.03
son born,according,0.01
son born,agreement,0.02
son born,become,0.2
starvation,satisfy,0.03
starvation,often,0.02
starvation,thirst,0.03
starvation,quite,0.03
starvation,others,0.03
starvation,order,0.17
maya,illusory,0.05
maya,appearances,0.06
maya,explained,0.26
maya,except,0.06
maya,guarded,0.05
maya,vishnu everything,0.04
maya,pitfalls,0.06
maya,first,0.03
explained,opted,0.01
explained,offer,0.01
propagate,multifariously,0.16
propagate,effort,0.02
ardent devotee,versed,0.06
ardent devotee,well,0.03
ardent devotee,subjects,0.25
bushy foliage,beautiful,0.25
bushy foliage,animals,0.26
bushy foliage,around,0.03
bushy foliage,freely,0.05
bushy foliage,housing,0.05
bushy foliage,strolled,0.05
bushy foliage,trees,0.05
bushy foliage,species,0.05
bushy foliage,enchanted,0.05
bushy foliage,surroundings,0.01
bushy foliage,birds,0.04
dakshina,continued,0.18
'\x93married',recognize,0.04
'\x93married',value,0.04
'\x93married',failed,0.05
'\x93married',intellectual,0.04
'\x93married',woefully,0.04
'\x93married',told,0.21
efforts,go,0.01
efforts,futile,0.02
efforts,people,0.14
marakandeya,thus,0.03
marakandeya,eternal,0.17
marakandeya,gets,0.03
marakandeya,proclaimed,0.03
thus,favoured,0.02
thus,chosen,0.15
chandala,forms,0.04
chandala,power,0.03
chandala,patience,0.04
chandala,begging,0.05
chandala,generosity,0.04
chandala,finally,0.03
chandala,various,0.04
chandala,mongrels,0.04
chandala,test,0.03
chandala,brahmana,0.06
chandala,menial,0.21
chandala,came,0.03
chandala,pack,0.04
markandeya,khyati,0.08
markandeya,beauty,0.01
markandeya,wife,0.01
