bond,close,0.06
bond,friendship,0.08
bond,form,0.08
tells,kingdom,0.3
tells,robbed,0.07
tells,driven,0.01
tells,dominion,0.07
kingdom,wife,0.01
mahendra,leap,0.07
mahendra,mount,0.01
leap,climbs,0.06
leap,top,0.06
leap,ocean,0.04
leap,prepares,0.07
leap,across,0.05
pampa,melancholy,0.06
melancholy,brothers,0.06
melancholy,reach,0.07
melancholy,lake,0.06
melancholy,rama,0.04
melancholy,funk,0.06
melancholy,sinks,0.06
monkeys,host,0.07
monkeys,leadership,0.07
monkeys,resourceful,0.08
monkeys,sets,0.08
monkeys,accompanied,0.07
monkeys,toward,0.05
monkeys,south,0.07
sampati,race,0.01
sampati,jatayus,0.01
sampati,scorched,0.01
sampati,vulture,0.05
sampati,adventures,0.01
sampati,wings,0.01
race,flown,0.01
scorched,many,0.01
scorched,brother,0.01
support,sita,0.29
support,promises,0.19
support,recovering,0.05
lanka,set,0.14
lanka,described,0.02
lanka,coast,0.02
lanka,located,0.01
set,was,0.03
ravana carrying,hills,0.08
ravana carrying,vindhya,0.01
ravana carrying,since,0.01
ravana carrying,had,0.09
ravana carrying,lying,0.01
had,seen,0.04
had,helpless,0.06
meet,soon,0.01
valin,monkey,0.01
valin,kishkindha,0.05
monkey,armies,0.01
monkey,residence,0.01
monkey armies,battle,0.09
hanuman,jump,0.04
jump,far,0.06
jump,much,0.04
jump,discussion,0.07
jump,decided,0.06
snake kills,advises,0.08
advises,despair,0.02
despair,destroys,0.02
despair,angry,0.02
despair,however,0.02
despair,angada,0.02
despair,snake,0.02
despair,child,0.02
despair,man,0.01
wisest,consecrated,0.01
wisest,among,0.01
wisest,son,0.06
consecrated,throne,0.01
consecrated,heir,0.01
consecrated,counselors,0.01
son,king,0.02
nature,loved,0.01
nature,arouses,0.01
nature,trees,0.07
loved,longing,0.01
loved,spring,0.01
loved,calling,0.01
loved,awakening,0.01
loved,distant,0.01
loved,blooming,0.01
loved,birds,0.01
trees,one,0.02
limitless,despaired,0.1
limitless,getting,0.05
limitless,billowing,0.06
limitless,sea,0.09
limitless,saw,0.1
sugrivas,aid,0.05
aid,comes,0.05
